,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,RSI,%K,%D,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,conversion_line,base_line,lead_span_A,lead_span_B,lagging_span,CCI
4428,2023-01-12 00:00:00,1389.4,1418.77,1386.0,1395.14,233490.718,1673503199999,327104257.710041,205205,114402.4961,160258564.278243,0,80.43265449265141,84.78330864833544,85.06819301383068,31.036445332330686,5.384952431647413,25.651492900683273,1338.27,1299.915,1229.2075,1205.1799999999998,1529.37,271.3192543933444
4429,2023-01-12 06:00:00,1395.13,1403.11,1394.86,1397.78,115621.0664,1673524799999,161777987.408943,120451,56702.7193,79337936.981123,0,80.7848118187945,84.25710642766069,87.58111107862449,33.32877417109444,6.14182501632893,27.186949154765507,1338.27,1299.915,1229.2075,1205.1799999999998,1551.09,182.42314348676356
4430,2023-01-12 12:00:00,1397.78,1432.79,1361.92,1428.72,352784.6441,1673546399999,492339666.14689696,343909,177947.1754,248483569.850279,0,84.34156837182502,96.74946090567852,88.59662532722494,37.213091361908255,8.020913765714198,29.192177596194057,1345.28,1306.925,1229.2075,1224.795,1547.12,150.23470191312936
4431,2023-01-12 18:00:00,1428.72,1438.0,1412.51,1415.92,175816.0207,1673567999999,250438936.602368,203975,89866.9975,128009368.590909,0,77.91601446381745,82.03709729905637,87.68122154413192,38.81119638192558,7.6952150285852206,31.115981353340363,1347.885,1309.54,1229.2075,1224.795,1549.49,139.89017626433846
4432,2023-01-13 00:00:00,1415.91,1418.14,1401.03,1406.77,98112.0131,1673589599999,138301862.566533,129161,50596.502,71325278.913518,0,73.59944019380698,74.59323136999674,84.45992985824394,38.89106559838456,6.220067396035354,32.6709982023492,1349.635,1309.54,1229.2075,1224.795,1592.02,91.59173835642463
4433,2023-01-13 06:00:00,1406.77,1419.5,1404.0,1409.71,84143.0212,1673611199999,118712734.399195,129394,43380.2258,61208131.131512,0,74.09602095284875,76.65841584158419,77.76291483687916,38.744968083093,4.859175904595034,33.885792178497965,1349.635,1309.54,1229.2075,1224.795,1658.52,82.00307366824308
4434,2023-01-13 12:00:00,1409.71,1424.78,1401.61,1417.12,139327.7222,1673632799999,196912670.015634,178221,72412.8328,102352376.748039,0,75.35429036850668,82.14774281805737,77.79979667654617,38.7800772311341,3.915428042108907,34.864649189025194,1350.74,1309.54,1229.815,1224.795,1646.02,77.08062113301713
4435,2023-01-13 18:00:00,1417.12,1464.0,1414.71,1451.2,177795.1084,1673654399999,256036024.560267,233759,93053.6942,133936187.349518,0,80.13384155256848,91.04644655847792,83.28420173937322,41.0842786749713,4.975703588756886,36.108575086214415,1374.72,1322.54,1229.815,1226.655,1647.04,113.84151984724575
4436,2023-01-14 00:00:00,1451.21,1599.98,1449.14,1546.63,419733.8843,1673675999999,645625758.142152,488937,221525.3512,340448103.740037,0,87.46465429515344,80.87402308740235,84.68940415464594,50.03401737114018,11.140353827940615,38.893663543199565,1453.78,1390.53,1229.815,1226.655,1655.34,231.2764687622679
4437,2023-01-14 06:00:00,1546.63,1564.69,1503.34,1530.09,243432.0549,1673697599999,373424287.10798705,299808,121951.1751,187146405.87936,0,81.82855813022401,74.94443249444322,82.28830071344123,55.15630247644481,13.010111146596195,42.14619132984861,1457.53,1390.53,1231.865,1226.655,1626.66,193.32302541228992
4438,2023-01-14 12:00:00,1530.08,1546.88,1507.15,1529.26,188760.5135,1673719199999,288627214.615919,252484,93032.4951,142259520.786149,0,81.54459089086387,74.64687746468775,76.82177768217782,58.47471613471521,13.06281984389328,45.41189629082193,1457.53,1395.275,1233.7525,1226.655,1627.73,142.47108581852947
4439,2023-01-14 18:00:00,1529.27,1559.91,1525.29,1549.9,88765.3247,1673740799999,136606558.323113,146570,46333.2005,71324148.171677,0,83.11390160631355,82.04631820463186,77.21254272125434,62.054730070571395,13.314267023799573,48.74046304677182,1458.3899999999999,1395.275,1234.8475,1226.655,1624.57,128.2015849302313
4440,2023-01-15 00:00:00,1549.91,1552.22,1516.03,1528.42,100071.9129,1673762399999,152884435.88541,154978,47759.2702,72944311.13529,0,75.88229203156156,73.7355942156647,76.80959662832817,62.4389036092557,10.958752449987102,51.4801511592686,1460.51,1395.275,1234.8475,1226.655,1656.63,91.35734739076547
4441,2023-01-15 06:00:00,1528.42,1535.04,1518.76,1533.35,69134.03,1673783999999,105584859.198287,114422,33575.1154,51284787.505172,0,76.39004650523825,72.01125766613454,75.9310566954771,62.42161616965791,8.753172008311445,53.668444161346464,1460.51,1395.275,1234.8475,1226.655,1627.44,73.16106704673372
4442,2023-01-15 12:00:00,1533.36,1566.66,1528.93,1551.36,131593.1621,1673805599999,203449665.413037,190269,68980.9531,106648428.925353,0,78.19599544570687,79.57657733344529,75.10780973841491,63.13340958684307,7.571972340397288,55.561437246445784,1460.51,1395.275,1234.8475,1226.655,1632.2,81.74980691922275
4443,2023-01-15 18:00:00,1551.36,1560.93,1533.0,1552.52,87033.6088,1673827199999,134707791.801109,130511,42184.3502,65300549.584186,0,78.31106950478714,80.06384944971855,77.21722814976619,63.06414904945996,6.002169442411336,57.06197960704862,1460.51,1395.275,1234.8475,1226.655,1636.67,71.76179352319868
4444,2023-01-16 00:00:00,1552.52,1584.58,1540.54,1576.03,156229.6544,1673848799999,244971632.596732,202112,78052.9848,122371250.125737,0,80.55138494555342,87.96179944709723,82.53407541008708,64.1666469298641,5.683733858252381,58.48291307161172,1460.51,1396.49,1236.4975,1226.655,1629.02,83.97942461482644
4445,2023-01-16 06:00:00,1576.03,1578.54,1523.2,1542.32,133741.9145,1673870399999,207265434.312964,196023,60120.7252,93159375.731073,0,69.47076799421527,71.01784367931637,79.68116419204411,61.61006667172069,2.501722880087172,59.108343791633516,1460.51,1396.49,1246.4425,1226.655,1626.29,55.87266915120193
