date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-11-19,1,0,21,4,0.68
2020-11-20,1,0,21,4,0.68
2020-11-21,1,0,18,7,0.44
2020-11-22,1,0,24,1,0.92
2020-11-23,1,1,24,0,0.96
2020-11-24,1,1,23,1,0.88
2020-11-25,1,0,19,6,0.52
2020-11-26,1,1,17,7,0.4
2020-11-27,1,0,20,5,0.6
2020-11-28,1,0,18,7,0.44
2020-11-29,1,1,21,3,0.72
2020-11-30,1,2,18,5,0.52
2020-12-01,1,1,22,2,0.8
2020-12-02,1,1,20,4,0.64
2020-12-03,1,0,25,0,1.0
2020-12-04,1,1,18,6,0.48
2020-12-05,1,0,23,2,0.84
2020-12-06,1,0,21,4,0.68
2020-12-07,1,1,17,7,0.4
2020-12-08,1,0,23,2,0.84
2020-12-22,1,1,20,4,0.64
2020-12-23,1,2,17,6,0.44
2020-12-25,1,0,19,6,0.52
2020-12-26,1,0,21,4,0.68
2020-12-27,1,0,23,2,0.84
2020-12-28,1,0,17,8,0.36
2020-12-29,1,2,17,6,0.44
2020-12-30,1,0,20,5,0.6
2020-12-31,1,1,18,6,0.48
2021-01-03,1,1,23,1,0.88
2021-01-04,1,1,22,2,0.8
2021-01-05,1,0,20,5,0.6
2021-01-06,1,1,21,3,0.72
2021-01-07,1,1,17,7,0.4
2021-01-10,1,0,25,0,1.0
2021-01-11,1,3,16,6,0.4
2021-01-12,1,0,20,5,0.6
2021-01-13,1,0,21,4,0.68
2021-01-14,1,0,21,4,0.68
2021-01-15,1,1,21,3,0.72
2021-01-16,1,1,23,1,0.88
2021-01-17,1,0,21,4,0.68
2021-01-19,1,0,19,6,0.52
2021-01-20,1,1,19,5,0.56
2021-01-22,1,1,22,2,0.8
2021-01-23,1,0,16,9,0.28
2021-01-24,1,0,22,3,0.76
2021-01-25,1,0,22,3,0.76
2021-01-26,1,0,21,4,0.68
2021-01-27,1,0,21,4,0.68
2021-01-28,1,0,19,6,0.52
2021-01-29,1,0,22,3,0.76
2021-02-03,1,0,19,6,0.52
2021-02-04,1,1,18,6,0.48
2021-02-05,1,2,16,7,0.36
2021-02-06,1,0,20,5,0.6
2021-02-07,1,0,17,8,0.36
2021-02-08,1,2,17,6,0.44
2021-02-09,1,0,19,6,0.52
2021-02-10,1,1,21,3,0.72
2021-02-11,1,0,21,4,0.68
2021-02-12,1,0,20,5,0.6
2021-02-13,1,0,19,6,0.52
2021-02-14,1,0,18,7,0.44
2021-02-15,1,0,20,5,0.6
2021-02-16,1,1,19,5,0.56
2021-02-17,1,1,22,2,0.8
2021-02-18,1,1,21,3,0.72
2021-02-20,1,0,17,8,0.36
2021-03-01,1,0,23,2,0.84
2021-03-02,1,0,19,6,0.52
2021-03-03,1,0,16,9,0.28
2021-03-04,1,1,16,8,0.32
2021-03-05,1,0,22,3,0.76
2021-03-06,1,1,17,7,0.4
2021-03-07,1,0,18,7,0.44
2021-03-09,1,0,22,3,0.76
2021-03-13,1,0,18,7,0.44
2021-03-14,1,0,24,1,0.92
