date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2021-01-12,1,0,15,10,0.2
2021-01-13,1,0,17,8,0.36
2021-01-14,1,0,17,8,0.36
2021-01-15,1,0,15,10,0.2
2021-01-16,1,0,19,6,0.52
2021-01-17,1,0,19,6,0.52
2021-01-18,1,0,16,9,0.28
2021-01-19,1,0,15,10,0.2
2021-01-20,1,0,18,7,0.44
2021-01-21,1,0,18,7,0.44
2021-01-22,1,0,14,11,0.12
2021-01-23,1,0,16,9,0.28
2021-01-24,2,0,11,14,-0.12
2021-01-25,1,0,15,10,0.2
2021-01-26,1,0,14,11,0.12
2021-01-28,1,0,18,7,0.44
2021-01-29,1,0,21,4,0.68
2021-01-30,1,0,18,7,0.44
2021-01-31,1,0,19,6,0.52
2021-02-01,1,0,18,7,0.44
2021-02-02,1,0,19,6,0.52
2021-02-03,1,0,19,6,0.52
2021-02-04,1,0,17,8,0.36
2021-02-05,1,0,19,6,0.52
2021-02-06,1,0,16,9,0.28
2021-02-07,1,0,15,10,0.2
2021-02-08,1,0,16,9,0.28
2021-02-09,1,0,18,7,0.44
2021-02-10,1,0,19,6,0.52
2021-02-11,1,0,16,9,0.28
2021-02-12,1,0,18,7,0.44
2021-02-13,1,0,16,9,0.28
2021-02-14,1,0,19,6,0.52
2021-02-15,1,0,19,6,0.52
2021-02-16,2,0,10,15,-0.2
2021-02-17,1,0,18,7,0.44
2021-02-18,1,0,16,9,0.28
2021-02-19,1,0,21,4,0.68
2021-02-20,1,0,19,6,0.52
2021-02-21,1,0,13,12,0.04
2021-02-25,1,0,17,8,0.36
2021-02-26,1,0,14,11,0.12
2021-03-01,1,0,18,7,0.44
2021-03-02,1,0,16,9,0.28
2021-03-03,1,0,14,11,0.12
2021-03-04,1,0,13,12,0.04
2021-03-05,1,0,16,9,0.28
2021-03-06,1,0,14,11,0.12
2021-03-07,1,0,15,10,0.2
2021-03-13,1,0,14,11,0.12
2021-03-14,1,0,16,9,0.28
2021-03-15,1,0,18,7,0.44
2021-03-16,1,0,21,4,0.68
2021-03-18,1,0,17,8,0.36
2021-03-20,1,0,15,10,0.2
2021-03-21,1,0,14,11,0.12
2021-03-29,1,0,14,11,0.12
2021-03-30,1,0,18,7,0.44
2021-03-31,1,0,21,4,0.68
2021-04-01,1,0,17,8,0.36
2021-04-02,2,0,11,14,-0.12
2021-04-03,1,0,16,9,0.28
2021-04-04,1,0,17,8,0.36
2021-04-05,1,0,16,9,0.28
2021-04-06,1,0,14,11,0.12
2021-04-07,1,0,15,10,0.2
2021-04-08,1,0,16,9,0.28
2021-04-09,1,0,18,7,0.44
2021-04-10,1,0,18,7,0.44
2021-04-12,1,0,14,11,0.12
2021-04-13,1,0,20,5,0.6
2021-04-14,1,0,17,8,0.36
2021-04-15,1,0,16,9,0.28
2021-04-16,1,0,15,10,0.2
2021-04-17,1,0,19,6,0.52
2021-04-18,1,0,19,6,0.52
2021-04-19,1,0,19,6,0.52
2021-04-20,1,0,17,8,0.36
2021-04-21,1,0,14,11,0.12
2021-04-22,1,0,22,3,0.76
2021-04-23,1,0,16,9,0.28
2021-04-24,1,0,13,12,0.04
2021-04-25,1,0,13,12,0.04
2021-04-26,2,0,11,14,-0.12
2021-04-27,1,0,17,8,0.36
2021-04-28,1,0,20,5,0.6
2021-04-29,1,0,18,7,0.44
2021-04-30,2,0,11,14,-0.12
2021-05-01,1,0,17,8,0.36
2021-05-02,1,0,18,7,0.44
2021-05-03,1,0,15,10,0.2
2021-05-04,1,0,14,11,0.12
2021-05-05,1,0,15,10,0.2
2021-05-06,1,0,14,11,0.12
2021-05-07,1,0,16,9,0.28
2021-05-08,1,0,14,11,0.12
2021-05-09,1,0,19,6,0.52
2021-05-10,1,0,18,7,0.44
2021-05-11,1,0,19,6,0.52
2021-05-13,1,0,18,7,0.44
2021-05-14,1,0,16,9,0.28
2021-05-15,1,0,17,8,0.36
2021-05-16,1,0,18,7,0.44
2021-05-17,1,0,15,10,0.2
2021-05-18,1,0,20,5,0.6
2021-05-19,1,0,18,7,0.44
2021-05-20,1,0,17,8,0.36
2021-05-21,1,0,21,4,0.68
2021-05-22,1,0,21,4,0.68
2021-05-23,1,0,15,10,0.2
2021-05-24,1,0,18,7,0.44
2021-05-25,1,0,17,8,0.36
2021-05-26,1,0,14,11,0.12
2021-05-27,1,0,19,6,0.52
2021-05-28,1,0,19,6,0.52
2021-05-29,1,0,13,12,0.04
2021-05-31,1,0,17,8,0.36
2021-06-01,1,0,21,4,0.68
2021-06-04,1,0,20,5,0.6
2021-06-05,1,0,16,9,0.28
2021-06-06,1,0,15,10,0.2
2021-06-07,1,0,14,11,0.12
2021-06-08,1,0,22,3,0.76
2021-06-12,1,0,17,8,0.36
2021-06-13,1,0,14,11,0.12
2021-06-14,1,0,16,9,0.28
2021-06-16,1,0,16,9,0.28
2021-06-17,1,0,18,7,0.44
2021-06-18,1,0,17,8,0.36
2021-06-19,1,0,21,4,0.68
2021-06-20,1,0,15,10,0.2
2021-06-21,1,0,20,5,0.6
2021-06-22,1,0,17,8,0.36
2021-06-23,1,0,17,8,0.36
2021-06-24,1,0,15,10,0.2
2021-06-25,1,0,18,7,0.44
2021-06-26,1,0,16,9,0.28
2021-06-27,1,0,16,9,0.28
2021-06-28,1,0,14,11,0.12
2021-06-29,1,0,16,9,0.28
2021-06-30,1,0,19,6,0.52
2021-07-01,1,0,17,8,0.36
2021-07-02,1,0,15,10,0.2
2021-07-04,1,0,17,8,0.36
2021-07-05,1,0,16,9,0.28
2021-07-06,1,0,17,8,0.36
2021-07-07,1,0,21,4,0.68
2021-11-28,1,0,14,11,0.12
2021-11-29,1,0,18,7,0.44
2021-11-30,1,0,17,8,0.36
2021-12-01,1,0,15,10,0.2
2021-12-02,2,0,10,15,-0.2
2021-12-03,2,0,12,13,-0.04
2021-12-04,1,0,14,11,0.12
2021-12-05,2,0,11,14,-0.12
2021-12-06,1,0,18,7,0.44
2021-12-07,1,0,16,9,0.28
2021-12-08,1,0,14,11,0.12
2021-12-09,1,0,20,5,0.6
2021-12-13,1,0,18,7,0.44
2021-12-14,1,0,21,4,0.68
2021-12-15,1,0,23,2,0.84
2021-12-17,1,0,14,11,0.12
2021-12-18,1,0,18,7,0.44
2021-12-19,1,0,17,8,0.36
2021-12-20,1,0,18,7,0.44
2021-12-21,1,0,18,7,0.44
2021-12-22,1,0,18,7,0.44
2021-12-23,1,0,20,5,0.6
2021-12-24,1,0,18,7,0.44
2021-12-25,1,0,16,9,0.28
2021-12-26,1,0,20,5,0.6
2021-12-27,1,0,16,9,0.28
2021-12-28,1,0,17,8,0.36
2021-12-29,1,0,17,8,0.36
2021-12-30,1,0,15,10,0.2
2021-12-31,1,0,21,4,0.68
2022-01-01,1,0,19,6,0.52
2022-01-02,1,0,17,8,0.36
2022-01-03,1,0,17,8,0.36
2022-01-04,2,0,12,13,-0.04
2022-01-09,1,0,18,7,0.44
2022-01-10,1,0,17,8,0.36
2022-01-11,1,0,13,12,0.04
2022-01-12,1,0,17,8,0.36
2022-01-13,1,0,19,6,0.52
2022-01-14,1,0,17,8,0.36
2022-01-17,1,0,16,9,0.28
2022-01-18,1,0,15,10,0.2
2022-01-19,1,0,19,6,0.52
2022-01-20,1,0,17,8,0.36
2022-01-21,1,0,18,7,0.44
2022-01-22,1,0,18,7,0.44
2022-01-29,1,0,16,9,0.28
2022-01-30,1,0,17,8,0.36
2022-01-31,1,0,18,7,0.44
2022-02-01,1,0,18,7,0.44
2022-02-02,1,0,15,10,0.2
2022-02-03,1,0,14,11,0.12
2022-02-04,1,0,16,9,0.28
2022-02-08,1,0,16,9,0.28
2022-02-09,1,0,16,9,0.28
2022-02-10,1,0,15,10,0.2
2022-02-11,1,0,14,11,0.12
2022-02-12,1,0,17,8,0.36
2022-02-13,1,0,19,6,0.52
2022-02-14,1,0,15,10,0.2
2022-02-15,1,0,18,7,0.44
2022-02-16,1,0,15,10,0.2
2022-02-17,1,0,20,5,0.6
2022-02-18,1,0,20,5,0.6
