date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2021-02-12,2,0,2,23,-0.84
2021-02-13,2,0,1,24,-0.92
2021-02-16,2,0,1,24,-0.92
2021-02-17,2,0,0,25,-1.0
2021-02-18,2,0,0,25,-1.0
2021-02-19,2,0,2,23,-0.84
2021-02-20,2,0,0,25,-1.0
2021-02-21,2,0,1,24,-0.92
2021-02-28,2,0,2,23,-0.84
2021-03-01,2,0,0,25,-1.0
2021-03-02,2,0,0,25,-1.0
2021-03-03,2,0,0,25,-1.0
2021-03-04,2,0,0,25,-1.0
2021-03-05,2,0,0,25,-1.0
2021-03-06,2,0,0,25,-1.0
2021-03-07,2,0,1,24,-0.92
2021-03-08,2,0,0,25,-1.0
2021-03-09,2,0,0,25,-1.0
2021-03-12,2,0,0,25,-1.0
2021-03-13,2,0,0,25,-1.0
2021-03-14,2,0,1,24,-0.92
2021-03-15,2,0,3,22,-0.76
2021-03-16,2,0,1,24,-0.92
2021-03-18,2,0,2,23,-0.84
2021-03-19,2,0,3,22,-0.76
2021-03-20,2,0,1,24,-0.92
2021-03-21,2,0,0,25,-1.0
2021-03-29,2,0,1,24,-0.92
2021-03-30,2,0,1,24,-0.92
2021-03-31,2,0,2,23,-0.84
2021-04-01,2,0,3,22,-0.76
2021-04-02,2,0,1,24,-0.92
2021-04-03,2,0,0,25,-1.0
2021-04-04,2,0,0,25,-1.0
2021-04-05,2,0,0,25,-1.0
2021-04-06,2,0,1,24,-0.92
2021-04-07,2,0,1,24,-0.92
2021-04-08,2,0,1,24,-0.92
2021-04-09,2,0,1,24,-0.92
2021-04-10,2,0,0,25,-1.0
2021-04-12,2,0,2,23,-0.84
2021-04-13,2,0,1,24,-0.92
2021-04-14,2,0,1,24,-0.92
2021-04-15,2,0,1,24,-0.92
2021-04-16,2,0,0,25,-1.0
2021-04-17,2,0,0,25,-1.0
2021-04-18,2,0,1,24,-0.92
2021-04-19,2,0,3,22,-0.76
2021-04-20,2,0,1,24,-0.92
2021-04-21,2,0,0,25,-1.0
2021-04-22,2,0,1,24,-0.92
2021-04-23,2,0,1,24,-0.92
2021-04-24,2,0,0,25,-1.0
2021-04-25,2,0,1,24,-0.92
2021-04-26,2,0,0,25,-1.0
2021-04-27,2,0,0,25,-1.0
2021-04-28,2,0,0,25,-1.0
2021-04-29,2,0,0,25,-1.0
2021-04-30,2,0,1,24,-0.92
2021-05-01,2,0,0,25,-1.0
2021-05-02,2,0,0,25,-1.0
2021-05-03,2,0,3,22,-0.76
2021-05-04,2,0,1,24,-0.92
2021-05-05,2,0,0,25,-1.0
2021-05-06,2,0,0,25,-1.0
2021-05-07,2,0,2,23,-0.84
2021-05-08,2,0,1,24,-0.92
2021-05-09,2,0,0,25,-1.0
2021-05-10,2,0,0,25,-1.0
2021-05-11,2,0,1,24,-0.92
2021-05-12,2,0,0,25,-1.0
2021-05-13,2,0,0,25,-1.0
2021-05-14,2,0,0,25,-1.0
2021-05-15,2,0,1,24,-0.92
2021-05-16,2,0,0,25,-1.0
2021-05-17,2,0,1,24,-0.92
2021-05-18,2,0,1,24,-0.92
2021-05-19,2,0,1,24,-0.92
2021-05-20,2,0,0,25,-1.0
2021-05-21,2,0,0,25,-1.0
2021-05-22,2,0,2,23,-0.84
2021-05-23,2,0,0,25,-1.0
2021-05-24,2,0,1,24,-0.92
2021-05-25,2,0,1,24,-0.92
2021-05-26,2,0,2,23,-0.84
2021-05-27,2,0,1,24,-0.92
2021-05-28,2,0,1,24,-0.92
2021-05-29,2,0,0,25,-1.0
2021-05-30,2,0,3,22,-0.76
2021-05-31,2,0,1,24,-0.92
2021-06-01,2,0,1,24,-0.92
2021-06-04,2,0,2,23,-0.84
2021-06-05,2,0,1,24,-0.92
2021-06-06,2,0,3,22,-0.76
2021-06-07,2,0,0,25,-1.0
2021-06-08,2,0,0,25,-1.0
2021-06-13,2,0,1,24,-0.92
2021-06-14,2,0,2,23,-0.84
2021-06-16,2,0,1,24,-0.92
2021-06-17,2,0,0,25,-1.0
2021-06-19,2,0,1,24,-0.92
2021-06-20,2,0,2,23,-0.84
2021-06-21,2,0,0,25,-1.0
2021-06-22,2,0,1,24,-0.92
2021-06-23,2,0,0,25,-1.0
2021-06-24,2,0,1,24,-0.92
2021-06-25,2,0,2,23,-0.84
2021-06-26,2,0,2,23,-0.84
2021-06-27,2,0,0,25,-1.0
2021-06-28,2,0,2,23,-0.84
2021-06-29,2,0,0,25,-1.0
2021-06-30,2,0,2,23,-0.84
2021-07-01,2,0,1,24,-0.92
2021-07-02,2,0,1,24,-0.92
2021-07-03,2,0,0,25,-1.0
2021-07-04,2,0,2,23,-0.84
2021-07-05,2,0,1,24,-0.92
2021-07-06,2,0,0,25,-1.0
2021-07-07,2,0,0,25,-1.0
2021-07-08,2,0,1,24,-0.92
2021-07-10,2,0,0,25,-1.0
2021-07-11,2,0,3,16,-0.6842105263157900
2021-11-28,2,0,0,25,-1.0
2021-11-29,2,0,2,23,-0.84
2021-11-30,2,0,0,25,-1.0
2021-12-01,2,0,2,23,-0.84
2021-12-02,2,0,0,25,-1.0
2021-12-03,2,0,0,25,-1.0
2021-12-04,2,0,3,22,-0.76
2021-12-05,2,0,1,24,-0.92
2021-12-06,2,0,0,25,-1.0
2021-12-07,2,0,2,23,-0.84
2021-12-08,2,0,0,25,-1.0
2021-12-09,2,0,2,23,-0.84
2021-12-14,2,0,0,25,-1.0
2021-12-15,2,0,1,24,-0.92
2021-12-17,2,0,1,24,-0.92
2021-12-18,2,0,2,23,-0.84
2021-12-20,2,0,1,24,-0.92
2021-12-21,2,0,1,24,-0.92
2021-12-22,2,0,2,23,-0.84
2021-12-23,2,0,2,23,-0.84
2021-12-24,2,0,0,25,-1.0
2021-12-26,2,0,1,24,-0.92
2021-12-27,2,0,3,22,-0.76
2021-12-28,2,0,2,23,-0.84
2021-12-29,2,0,0,25,-1.0
2021-12-30,2,0,4,21,-0.68
2021-12-31,2,0,2,23,-0.84
2022-01-01,2,0,1,24,-0.92
2022-01-02,2,0,2,23,-0.84
2022-01-03,2,0,1,24,-0.92
2022-01-04,2,0,1,24,-0.92
2022-01-09,2,0,2,23,-0.84
2022-01-10,2,0,2,23,-0.84
2022-01-11,2,0,1,24,-0.92
2022-01-12,2,0,2,23,-0.84
2022-01-13,2,0,1,24,-0.92
2022-01-14,2,0,1,24,-0.92
2022-01-17,2,0,1,24,-0.92
2022-01-18,2,0,0,25,-1.0
2022-01-19,2,0,0,25,-1.0
2022-01-20,2,0,2,23,-0.84
2022-01-21,2,0,0,25,-1.0
2022-01-22,2,0,0,25,-1.0
2022-01-29,2,0,1,24,-0.92
2022-01-30,2,0,2,23,-0.84
2022-01-31,2,0,0,25,-1.0
2022-02-01,2,0,0,25,-1.0
2022-02-02,2,0,2,23,-0.84
2022-02-03,2,0,0,25,-1.0
2022-02-04,2,0,3,22,-0.76
2022-02-05,2,0,1,24,-0.92
2022-02-08,2,0,0,25,-1.0
2022-02-09,2,0,0,25,-1.0
2022-02-10,2,0,0,25,-1.0
2022-02-11,2,0,0,25,-1.0
2022-02-12,2,0,2,23,-0.84
2022-02-13,2,0,0,25,-1.0
2022-02-14,2,0,1,24,-0.92
2022-02-15,2,0,1,24,-0.92
2022-02-16,2,0,1,24,-0.92
2022-02-17,2,0,0,25,-1.0
2022-02-18,2,0,0,25,-1.0
2022-02-19,2,0,1,24,-0.92
2022-02-20,2,0,2,23,-0.84
2022-02-21,2,0,2,23,-0.84
2022-02-22,2,0,1,24,-0.92
2022-02-23,2,0,2,23,-0.84
2022-02-24,2,0,1,24,-0.92
2022-02-25,2,0,0,25,-1.0
2022-02-26,2,0,1,24,-0.92
2022-02-27,2,0,1,24,-0.92
2022-02-28,2,0,0,25,-1.0
2022-03-01,2,0,2,23,-0.84
2022-03-02,2,0,2,23,-0.84
2022-03-03,2,0,0,25,-1.0
2022-03-04,2,0,0,25,-1.0
2022-03-05,2,0,0,25,-1.0
2022-03-06,2,0,0,25,-1.0
2022-03-07,2,0,1,24,-0.92
2022-03-08,2,0,1,24,-0.92
2022-03-09,2,0,1,24,-0.92
2022-03-10,2,0,0,25,-1.0
